Soil type,Water Holding Capacity,Field Capacity,Permanent Wilting Point,Infiltration Rate,Soil Texture Class,Bulk Density
-0.115286335,-0.14168109,0.08321266,0.012647356,0.15021764,0.014220298,-0.17729372
0.09401864,-0.18855149,-0.12699687,-0.29075366,0.18584234,0.059519526,0.044352226
-0.1264144,-0.17500928,-0.1420508,-0.15202884,0.13162531,-0.012379443,-0.1169129
-0.051348317,-0.24400063,-0.045507006,0.07376701,0.15382226,0.17982867,-0.14602298
-0.014605954,-0.07693758,-0.15613563,0.057598438,-0.022198468,0.0076933876,-0.0046473145
-0.052382313,-0.21487081,-0.0479279,-0.11719178,-0.18441707,0.0034767836,-0.22003292
-0.22784984,0.059950627,-0.020441905,0.14957854,0.14929381,0.04750906,-0.04915283
-0.091203064,-0.041911483,-0.033522174,0.044820942,-0.30788872,0.07599456,-0.14110652
0.23735164,-0.15027294,0.17646551,-0.16892399,-0.09936629,0.16532782,-0.2608523
0.10068831,-0.21082722,-0.21033533,-0.3972756,0.12982404,0.0029992387,0.1466646
-0.11232485,-0.018509112,-0.042605806,-0.0494143,0.20408016,0.2290808,-0.05132219
-0.14650238,-0.14483611,0.090551466,-0.09800229,-0.06286504,0.12800208,-0.08497502
0.10376116,-0.3514803,-0.069224045,-0.100904465,0.09896696,-0.022208184,0.055751905
-0.106965564,-0.22230762,-0.15000603,-0.26547968,-0.12805948,0.1595944,-0.059668444
-0.10650247,-0.19698478,0.10019673,-0.04091239,0.008946184,-0.008287031,0.05564957
-0.09799521,0.055662856,-0.039119106,0.1261498,-0.08751576,0.038859673,-0.103199616
-0.3064231,-0.41082376,0.09308221,-0.08539939,0.15373306,-0.19073915,-0.33675015
0.15881012,-0.3454667,0.25276795,0.10997197,-0.19846775,0.121009395,-0.11422238
0.065242305,-0.11851671,-0.14274427,0.077936545,0.011371452,0.040301993,-0.16489688
-0.030380853,-0.034380578,0.16610119,-0.029739859,0.16989009,0.09491252,0.17879507
-0.22325197,-0.36849913,0.056170136,-0.10352376,0.024114236,0.17126247,-0.07258842
-0.094896585,-0.18592264,-0.11289328,0.17741676,0.12024522,-0.000558123,0.030809857
-0.09774764,0.022310643,0.14340004,-0.063266605,-0.14275208,-0.025062166,0.21915479
0.1515801,-0.34308687,0.31673437,-0.16997927,-0.18501046,0.4723551,-0.05211755
-0.03312771,-0.15695961,-0.039260644,-0.089721695,0.1617088,0.12893844,-0.048445985
-0.06900698,-0.3224299,0.15562344,-0.09088283,-0.2055653,0.27102685,-0.3566197
-0.12532248,-0.052575536,-0.19405669,0.15849422,0.20219316,-0.11735198,-0.075724415
-0.21630701,-0.33621085,-0.021472383,-0.09044796,0.07727352,-0.041545127,0.008216415
-0.084443055,-0.44370282,-0.2206538,-0.078248985,0.19543391,0.062499657,0.080164306
0.09261476,-0.24281165,0.040439866,-0.118351296,-0.0009438172,0.185688,-0.12704118
-0.22237605,0.019119855,0.0002680607,-0.24667609,-0.04838675,0.04831528,0.20388842
-0.05200897,-0.087824814,0.2777457,-0.0044055134,-0.14992963,0.28372592,-0.38766032
-0.046329323,-0.10345074,-0.02418654,-0.27960506,-0.099126525,-0.21990405,-0.100199714
-0.16240239,-0.12310244,-0.09255609,0.0071874,-0.022041216,0.07393519,-0.014064603
0.14120263,-0.1924246,0.030897215,-0.13315502,0.055531193,0.13918737,0.07279813
-0.07936126,-0.32106405,-0.07007755,0.03610515,0.12742665,-0.08541457,-0.25836268
-0.037437145,-0.3891474,-0.0055998005,0.024278928,0.11310846,-0.15691218,-0.18141496
-0.1337652,-0.13159268,-0.08484593,0.07153018,-0.007572327,0.13516283,0.03155706
-0.03983173,-0.080677316,-0.01797222,-0.036879733,0.021494653,-0.1460632,-0.13298438
-0.26971236,-0.085596025,0.103734255,-0.041736748,0.19373298,0.19746146,-0.25894332
-0.09581874,-0.13231367,0.1884762,0.049629264,-0.1811173,0.18639411,-0.0833883
-0.16988286,-0.2975453,0.10243404,-0.30387896,0.074039996,0.32417712,-0.087161526
-0.1709032,-0.13185334,0.090465195,-0.10285453,0.053580023,0.14966212,-0.225483
0.043488752,-0.14462261,0.13187127,0.06333539,-0.13780242,0.3152366,-0.15475738
-0.18938708,0.04859125,0.0019330382,0.053368755,-0.19461218,-0.070203125,0.011922203
0.042758703,-0.24338564,0.10521361,-0.004101038,0.04705432,0.04059136,-0.15062898
-0.16859293,-0.05749173,-0.014616061,-0.055781156,-0.11417023,-0.02652574,-0.08401318
-0.09502214,-0.26860112,0.055669867,0.024624284,0.038003966,-0.094154015,-0.016018458
-0.029516723,0.053446047,-0.0023138886,0.072562754,-0.019061677,-0.12163597,-0.14530715
-0.039692063,-0.11695825,-0.00041618943,-0.0027285926,-0.11669119,0.2556496,-0.3280601
-0.09386652,-0.39936858,0.09566877,0.14643025,0.08530902,-0.1133598,-0.09769088
-0.120970204,-0.5352404,0.07930009,-0.1268765,-0.11331359,0.036035642,-0.24629897
-0.09135191,-0.13131368,0.12486583,0.01765491,0.075656116,0.071815334,-0.13682438
0.044549786,-0.28398666,-0.032730117,-0.065219596,0.13292775,0.08573488,-0.10421639
-0.063789055,-0.29764813,-0.1373401,-0.13527507,-0.11818974,0.21484217,-0.1571846
-0.1835937,-0.32773814,-0.122010745,-0.15201448,0.032677725,-0.010124978,0.033906844
-0.1302283,-0.3104686,-0.08563721,-0.37769195,0.00053902715,-0.030983493,-0.053882204
-0.16559106,-0.31719175,0.12507811,-0.015352942,-0.008753676,0.1502137,0.13611692
-0.06433373,-0.45510817,-0.065458834,0.04858073,-0.09788525,0.04528414,-0.109541446
-0.124591045,-0.19235061,-0.027927242,0.1893976,0.036702983,0.040754534,0.08949357
-0.1169016,-0.1261797,0.07815077,0.039372355,0.06865542,0.06035341,-0.09033319
-0.054621562,-0.35688603,-0.024718553,-0.0045695454,0.1558888,-0.12481463,0.023642585
-0.06647749,-0.30863005,-0.002807714,-0.10606706,0.07613385,-0.022688195,0.033084065
0.11182648,-0.2577419,0.065890394,-0.122729205,0.04424275,0.059025027,-0.13277659
-0.061775,-0.15633108,0.10026915,-0.09311502,-0.07392303,0.11955759,-0.17132671
-0.056486063,-0.059254,-0.1289066,-0.08061936,0.2828467,-0.10454291,-0.18647194
-0.14810759,-0.21507289,0.12103694,-0.045922987,0.22730386,0.13564135,-0.021766365
-0.22387663,-0.16841702,-0.091429904,-0.30029297,0.0061567873,0.16209778,0.02250275
-0.02690655,-0.43129855,-0.05031897,-0.05695197,-0.16023174,0.09638488,-0.1990026
-0.02224617,0.08294685,-0.19356352,-0.19613147,0.031353816,0.07507042,0.084182516
0.06758416,-0.23330995,0.038549855,-0.036122948,-0.19909102,0.25119722,0.07217698
-0.0973542,-0.1231288,0.036928803,-0.25777522,-0.095621645,0.26110566,-0.2671122
-0.060435474,-0.12740292,-0.100500554,0.08542324,-0.060192544,-0.018054973,-0.083116665
0.091632694,-0.3213957,-0.0754554,-0.23818769,-0.17980821,0.1475793,-0.21898147
0.014227254,-0.17770654,-0.012401409,-0.0061443523,0.18655244,0.020935118,0.008646894
-0.12183602,-0.27370757,-0.078949,-0.038507108,0.17246434,-0.07863957,-0.08517156
-0.061933495,-0.3560493,0.043796193,-0.07120141,0.11413666,0.2380428,-0.027695099
0.016845345,-0.24984457,0.013404936,-0.13967225,0.20151834,0.130626,-0.041566536
-0.07279861,-0.21288157,-0.050476734,0.076432146,-0.1776774,0.085017405,-0.2057002
-0.008148134,-0.14075235,0.13722312,-0.14888215,-0.0333642,0.15600485,0.13009867
